epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,282.127,1.49389,0.54448,0.00262,0.8547,0.8049,0.83641,0.47454,1.55144,0.54258,0.00419,0.000494885,0.000494885,0.000494885
43,288.772,1.50842,0.55683,0.00261,0.8796,0.81177,0.84645,0.47087,1.53656,0.5363,0.00418,0.000486639,0.000486639,0.000486639
44,295.385,1.49432,0.54562,0.0026,0.86875,0.80349,0.83928,0.47533,1.53825,0.54496,0.00424,0.000478392,0.000478392,0.000478392
45,302.043,1.49189,0.54106,0.00253,0.88084,0.8228,0.85367,0.47739,1.53923,0.53157,0.00423,0.000470145,0.000470145,0.000470145
46,308.84,1.49425,0.53984,0.00257,0.8516,0.82231,0.84112,0.48244,1.52831,0.53609,0.00418,0.000461898,0.000461898,0.000461898
47,315.49,1.47284,0.52957,0.00269,0.85822,0.8082,0.8408,0.47713,1.52527,0.53925,0.00415,0.000453652,0.000453652,0.000453652
48,322.156,1.48,0.52999,0.0026,0.88652,0.78267,0.83028,0.46979,1.54192,0.55149,0.0042,0.000445405,0.000445405,0.000445405
49,328.894,1.49314,0.53801,0.0026,0.82684,0.80532,0.82421,0.46831,1.53868,0.55461,0.00417,0.000437158,0.000437158,0.000437158
50,335.61,1.46875,0.53358,0.00261,0.87714,0.80232,0.83716,0.48417,1.53102,0.54015,0.00419,0.000428912,0.000428912,0.000428912
51,342.253,1.45944,0.5231,0.00265,0.87219,0.80241,0.83965,0.47636,1.54198,0.54291,0.0042,0.000420665,0.000420665,0.000420665
52,348.985,1.47551,0.53428,0.00253,0.8422,0.81712,0.83072,0.47522,1.52831,0.54153,0.00418,0.000412418,0.000412418,0.000412418
53,355.668,1.45969,0.52459,0.0025,0.84785,0.81733,0.83572,0.4854,1.52555,0.52935,0.00418,0.000404172,0.000404172,0.000404172
54,362.382,1.47349,0.53398,0.00255,0.88036,0.80284,0.84392,0.47608,1.52746,0.5299,0.00421,0.000395925,0.000395925,0.000395925
55,368.998,1.47306,0.53381,0.00248,0.88602,0.8015,0.84733,0.48107,1.52249,0.5513,0.00415,0.000387678,0.000387678,0.000387678
56,375.587,1.46028,0.52675,0.00253,0.92586,0.77812,0.84801,0.48339,1.52013,0.54495,0.0041,0.000379431,0.000379431,0.000379431
57,382.316,1.46388,0.52738,0.00245,0.89507,0.80497,0.84394,0.48457,1.5206,0.53612,0.00413,0.000371185,0.000371185,0.000371185
58,388.929,1.45425,0.51897,0.00257,0.90547,0.79772,0.84076,0.47599,1.55272,0.54356,0.00421,0.000362938,0.000362938,0.000362938
59,395.509,1.44557,0.51796,0.00254,0.88667,0.79172,0.83734,0.47579,1.53896,0.55194,0.00419,0.000354691,0.000354691,0.000354691
60,402.133,1.45908,0.51969,0.00246,0.9241,0.78712,0.8456,0.4791,1.53513,0.54231,0.00417,0.000346445,0.000346445,0.000346445
61,408.726,1.44047,0.51773,0.00246,0.88658,0.79491,0.83573,0.47946,1.52208,0.54236,0.00421,0.000338198,0.000338198,0.000338198
62,415.381,1.4319,0.5102,0.0025,0.89306,0.7867,0.84234,0.47557,1.53908,0.5447,0.00418,0.000329951,0.000329951,0.000329951
63,421.988,1.43065,0.51238,0.00249,0.87982,0.78939,0.84122,0.47439,1.54244,0.54411,0.0042,0.000321705,0.000321705,0.000321705
64,428.599,1.42582,0.50151,0.00249,0.90825,0.77401,0.83366,0.47928,1.5388,0.54535,0.0042,0.000313458,0.000313458,0.000313458
65,435.188,1.42485,0.50963,0.00248,0.88108,0.80749,0.83993,0.47722,1.53772,0.55028,0.0042,0.000305211,0.000305211,0.000305211
66,441.812,1.41805,0.50801,0.00245,0.89402,0.78826,0.83551,0.47822,1.52666,0.54308,0.00415,0.000296964,0.000296964,0.000296964
67,448.609,1.4322,0.50269,0.00243,0.88298,0.81135,0.84122,0.47758,1.52804,0.54041,0.00417,0.000288718,0.000288718,0.000288718
68,455.266,1.41696,0.51215,0.00243,0.90073,0.78176,0.83202,0.47839,1.53422,0.54213,0.00421,0.000280471,0.000280471,0.000280471
69,461.872,1.41003,0.49961,0.00244,0.84418,0.82041,0.83833,0.47524,1.54739,0.55064,0.0042,0.000272224,0.000272224,0.000272224
70,468.492,1.3918,0.49582,0.00239,0.88257,0.792,0.83296,0.47595,1.53399,0.5512,0.00418,0.000263978,0.000263978,0.000263978
71,475.045,1.39992,0.49589,0.00238,0.85234,0.80403,0.83778,0.47815,1.53137,0.54688,0.00422,0.000255731,0.000255731,0.000255731
72,481.624,1.40032,0.49647,0.00239,0.8719,0.80005,0.83219,0.48115,1.53072,0.54617,0.00421,0.000247484,0.000247484,0.000247484
73,488.256,1.39204,0.49746,0.00241,0.83654,0.80138,0.81797,0.47314,1.54042,0.544,0.00416,0.000239238,0.000239238,0.000239238
