epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,198.572,1.65474,0.89499,0.00305,0.70147,0.67266,0.70165,0.40246,1.59943,0.80402,0.00459,0.000494885,0.000494885,0.000494885
43,203.082,1.66592,0.90476,0.00304,0.72737,0.67086,0.70883,0.39678,1.62515,0.80594,0.0047,0.000486639,0.000486639,0.000486639
44,207.788,1.67058,0.89816,0.00307,0.70456,0.65926,0.6961,0.4001,1.60838,0.7909,0.00467,0.000478392,0.000478392,0.000478392
45,213.224,1.67023,0.87502,0.00301,0.75974,0.66147,0.71425,0.40703,1.60223,0.79284,0.00467,0.000470145,0.000470145,0.000470145
46,217.655,1.67002,0.86885,0.00299,0.68614,0.68954,0.70894,0.39406,1.61739,0.81659,0.00465,0.000461898,0.000461898,0.000461898
47,222.02,1.63442,0.87721,0.00313,0.71495,0.69352,0.71614,0.41198,1.59489,0.77343,0.00458,0.000453652,0.000453652,0.000453652
48,226.525,1.64099,0.86533,0.00303,0.74145,0.67821,0.72055,0.41143,1.5978,0.78505,0.00462,0.000445405,0.000445405,0.000445405
49,231.141,1.65363,0.87296,0.00302,0.71529,0.69474,0.71163,0.40455,1.60276,0.79428,0.00457,0.000437158,0.000437158,0.000437158
50,235.655,1.64938,0.86081,0.00305,0.73005,0.6924,0.7147,0.40941,1.58832,0.78304,0.00454,0.000428912,0.000428912,0.000428912
51,240.1,1.62707,0.8516,0.00308,0.76339,0.68348,0.7298,0.41219,1.60274,0.77492,0.0046,0.000420665,0.000420665,0.000420665
52,245.015,1.65658,0.86197,0.00299,0.71134,0.69139,0.71147,0.41424,1.58468,0.78285,0.00451,0.000412418,0.000412418,0.000412418
53,249.581,1.66141,0.84273,0.00298,0.74602,0.66423,0.71579,0.4037,1.61564,0.77572,0.00462,0.000404172,0.000404172,0.000404172
54,254.074,1.66683,0.86234,0.00302,0.77509,0.68058,0.72973,0.41544,1.60647,0.75861,0.00462,0.000395925,0.000395925,0.000395925
55,258.617,1.67594,0.85241,0.00297,0.7748,0.69188,0.7361,0.42392,1.59101,0.76127,0.00454,0.000387678,0.000387678,0.000387678
56,263.098,1.65577,0.83133,0.00302,0.74079,0.69974,0.71973,0.41672,1.59777,0.75373,0.00459,0.000379431,0.000379431,0.000379431
57,267.579,1.66537,0.83312,0.00294,0.74803,0.68908,0.72381,0.41409,1.60207,0.76483,0.00456,0.000371185,0.000371185,0.000371185
58,272.036,1.63885,0.82506,0.00302,0.76546,0.68983,0.72188,0.41114,1.62622,0.76496,0.0046,0.000362938,0.000362938,0.000362938
59,276.495,1.64089,0.84329,0.00304,0.79264,0.67614,0.73676,0.41815,1.60958,0.75856,0.00459,0.000354691,0.000354691,0.000354691
60,281.664,1.65904,0.82454,0.00295,0.83601,0.65948,0.73203,0.42228,1.59259,0.75634,0.00453,0.000346445,0.000346445,0.000346445
61,286.147,1.64529,0.8279,0.00296,0.71889,0.70084,0.72549,0.40988,1.59864,0.755,0.00457,0.000338198,0.000338198,0.000338198
62,290.592,1.63847,0.81735,0.00301,0.73647,0.69644,0.72884,0.42134,1.60325,0.75218,0.00457,0.000329951,0.000329951,0.000329951
